"code"	"staton name"	"latitude"	"longitude"	"altitude"
"57713"	"zunyi"	2742	10653	8439
"57816"	"guiyang"	2635	10644	12238
"57902"	"xingren"	2526	10511	13785
"52418"	"dunhuang"	4009	9441	11390
"52436"	"yumenzhen"	4016	9702	15260
"52533"	"jiuquan"	3946	9829	14772
"52681"	"minqin"	3838	10305	13670
"52787"	"wuqiaoling"	3712	10252	30451
"53915"	"pingliang"	3533	10640	13466
"54527"	"tianjin"	3905	11704	25
"53487"	"datong"	4006	11320	10672
"53673"	"yuanping"	3844	11243	8282
"53772"	"taiyuan"	3747	11233	7783
"53863"	"jiexiu"	3702	11155	7439
"53959"	"yuncheng"	3502	11101	3760
"50434"	"tulihe"	5029	12141	7326
"50527"	"hailaer"	4913	11945	6102
"50632"	"boketu"	4846	12155	7397
"50727"	"aershan"	4710	11957	10274
"50915"	"dongwuhumuqinqi"	4531	11658	8387
"53068"	"erlianhaote"	4339	11158	9647
"53192"	"abagaqi"	4401	11457	11261
"53276"	"zhurihe"	4224	11254	11508
"53336"	"wulatethongqi"	4134	10831	12880
"53352"	"laerhanlianheqi"	4142	11026	13766
"53391"	"huade"	4154	11400	14827
"53463"	"hewuhaote"	4049	11141	10630
"53502"	"jilantai"	3947	10545	10318
"53529"	"etuokeqi"	3906	10759	13803
"54012"	"xiwuzhumuqinqi"	4435	11736	10006
"54026"	"zhaluteqi"	4434	12054	2650
"54027"	"balinzuoqi"	4359	11924	4844
"54102"	"xilinhaote"	4357	11604	9895
"54115"	"linxi"	4336	11804	7990
"54135"	"taoliao"	4336	12216	1785
"54208"	"duolun"	4211	11628	12454
"54218"	"chifeng"	4216	11856	5680
"58457"	"hangzhou"	3014	12010	417
"58477"	"dinghai"	3002	12206	357
"58633"	"quzhou"	2900	11854	824
"54776"	"chengshantou"	3724	12241	477
"54823"	"jinan"	3636	11703	1703
"54843"	"weifang"	3645	11911	222
"54916"	"yanzhou"	3534	11651	517
"56146"	"ganzi"	3137	10000	33935
"56172"	"ma'erkang"	3154	10214	26644
"56182"	"songpan"	3239	10334	28507
"56462"	"jiulong"	2900	10130	79873
"56492"	"yibin"	2848	10436	3408
"56571"	"xichang"	2754	10216	15909
"56671"	"huili"	2639	10215	17871
"57237"	"wanyuan"	3204	10802	6740
"57411"	"nanchong"	3047	10606	3093
"56444"	"deqin"	2829	9855	33190
"56651"	"lijiang"	2652	10013	23924
"56739"	"tengchong"	2501	9830	16546
"56778"	"kunming"	2501	10241	18924
"56951"	"lincang"	2353	10005	15024
"56954"	"lancang"	2234	9956	10548
"56964"	"simao"	2247	10058	13021
"56985"	"mengzi"	2323	10323	13007
"53646"	"yulin"	3814	10942	1575
"53845"	"yan'an"	3636	10930	9585
"52602"	"lenghu"	3845	9320	27700
"52713"	"dachaidan"	3751	9522	31732
"52818"	"ge'ermu"	3625	9454	28076
"52836"	"dulan"	3618	9806	31911
"52866"	"xining"	3643	10145	22952
"56029"	"yushu"	3301	9701	36812
"56033"	"maduo"	3455	9813	42723
"56046"	"dari"	3345	9939	39675
"53614"	"yinchuan"	3829	10613	11114
"53723"	"yamchi"	3747	10724	13478
"51076"	"a'ertai"	4744	8805	7353
"51156"	"hebukesai'er"	4647	8543	12916
"51243"	"kelamayi"	4537	8451	4495
"51334"	"jinghe"	4437	8254	3201
"51379"	"qitai"	4401	8934	7935
"51431"	"yining"	4357	8120	6625
"51463"	"wulumuqi"	4347	8739	9350
"51573"	"tulufan"	4256	8912	345
"51644"	"kuche"	4143	8304	10819
"51765"	"teiganlike"	4038	8742	8460
"51777"	"ruoqiang"	3902	8810	8883
"51811"	"shache"	3826	7716	12312
"51828"	"hetian"	3708	7956	13745
"52203"	"hami"	4249	9331	7372
