"code"	"staton name"	"latitude"	"longitude"	"altitude"
"54511"	"beijing"	3948	11628	313
"53698"	"shijiazhuang"	3802	11425	810
"54405"	"huailai"	4024	11530	5368
"54423"	"chengde"	4059	11757	3859
"54539"	"leting"	3926	11853	105
"54236"	"pengwu"	4225	12232	794
"54324"	"chaoyang"	4133	12027	1699
"54337"	"jinzhou"	4108	12107	659
"54342"	"shenyang"	4144	12331	490
"54346"	"benxi"	4119	12347	1852
"54471"	"yingkou"	4039	12210	38
"54497"	"dandong"	4003	12420	138
"54662"	"dalian"	3854	12138	915
"50353"	"huma"	5143	12639	1774
"50557"	"neijiang"	4910	12514	2422
"50564"	"sunwu"	4926	12721	2345
"50658"	"keshan"	4803	12553	2346
"50745"	"qiqihaer"	4723	12355	1459
"50756"	"hailun"	4726	12658	2392
"50788"	"fujin"	4714	13159	664
"50854"	"anda"	4623	12519	1493
"50953"	"haerbin"	4545	12646	1423
"50963"	"tonghe"	4558	12844	1086
"50968"	"shangzhi"	4513	12758	1897
"50978"	"jixi"	4517	13057	2383
"54094"	"mudanjiang"	4434	12936	2414
"54096"	"suifenhe"	4423	13109	4967
"58040"	"ganyu"	3450	11907	33
"58238"	"nanjing"	3200	11848	71
"58251"	"dongtai"	3252	12019	43
"58102"	"haozhou"	3352	11546	377
"58221"	"bangbu"	3255	11723	219
"58314"	"huoshan"	3124	11619	864
"58321"	"hefei"	3152	11714	279
"58424"	"anqing"	3032	11703	198
"58834"	"nanping"	2639	11810	1256
"58847"	"fuzhou"	2605	11917	840
"58921"	"yong'an"	2558	11721	2060
"59134"	"xiamen"	2429	11804	1394
"57799"	"ji'an"	2703	11455	712
"57993"	"ganzhou"	2551	11457	1238
"58527"	"jingdezhen"	2918	11712	615
"58606"	"nanchang"	2836	11555	467
"58715"	"nancheng"	2735	11639	808
"53898"	"anyang"	3607	11422	755
"57067"	"lushi"	3403	11102	5688
"57083"	"zhengzhou"	3443	11339	1104
"57297"	"xinyang"	3208	11403	1145
"57265"	"laohekou"	3223	11140	900
"57447"	"enshi"	3017	10928	4571
"57461"	"yichang"	3042	11118	1331
"57494"	"wuhan"	3037	11408	231
"57745"	"zhijiang"	2727	10941	2722
"57866"	"lingling"	2614	11137	1726
"59082"	"shaoguan"	2441	11336	607
"59287"	"guangzhou"	2310	11320	410
"59293"	"dongyuan"	2348	11444	708
"59501"	"shanwei"	2248	11522	173
"59663"	"yangjiang"	2152	11158	233
"57957"	"guilin"	2519	11018	1644
"59023"	"hechi"	2442	10802	2602
"59211"	"baise"	2354	10636	1735
"59254"	"guiping"	2324	11005	425
"59265"	"wuzhou"	2329	11118	1148
"59417"	"longzhou"	2220	10651	1288
"59431"	"nanning"	2238	10813	1216
"59632"	"qinzhou"	2157	10837	45
"59758"	"haikou"	2000	11015	635
"59838"	"dongfang"	1906	10837	84
"59855"	"qionghai"	1914	11028	240
"57633"	"youyang"	2850	10846	6641
"57707"	"bijie"	2718	10517	15106
