Name,ACE ,AEGON ,AFLAC ,AGEAS (EX-FORTIS) ,ALLIANZ (XET) ,AMLIN ,AON ,GENERALI ,AVIVA ,AXA ASIA PACIFIC HDG. ,AXA ,ALLSTATE ,AMERICAN INTL.GP. ,ARCH CAP.GP. ,BALOISE-HOLDING AG ,BERKSHIRE HATHAWAY 'B' ,CNP ASSURANCES ,CHUBB ,CINCINNATI FINL. ,EVEREST RE GP. ,FAIRFAX FINL.HDG. ,GREAT WEST LIFECO ,HANNOVER RUCK. (XET) ,HELVETIA HOLDING N ,HARTFORD FINL.SVS.GP. ,ING GROEP ,JARDINE LLOYD THOMPSON ,LEGAL & GENERAL ,LINCOLN NAT. ,LOEWS ,MAPFRE ,MS&AD INSURANCE GP.HDG. ,MUENCHENER RUCK. (XET) ,MANULIFE FINANCIAL ,MARKEL ,MARSH & MCLENNAN ,OLD MUTUAL ,PRUDENTIAL ,PARTNERRE ,POWER CORP.CANADA ,POWER FINL. ,PROGRESSIVE OHIO ,QBE INSURANCE GROUP ,RSA INSURANCE GROUP ,RENAISSANCERE HDG. ,SAMPO 'A' ,SCOR SE ,STOREBRAND ,SWISS LIFE HOLDING ,SWISS RE 'R' ,TOPDANMARK ,TORCHMARK ,TRAVELERS COS. ,UNUM GROUP ,VIENNA INSURANCE GROUP A ,W R BERKLEY ,XL GROUP ,ZURICH FINANCIAL SVS. 
12/31/99,174.9,7745.3,20934.4,4802.8,337.3,85.5,1489.6,8803.6,1157.5,148.3,7919.4,163.8,5835.7,59.4,4619.5,157.8,161,873.8,2808.5,113.7,8183.3,434.4,199.5,1754,190.5,706.3,288.8,5740.1,713.1,1906.4,82.3,277.1,316.1,103.1,1860.1,2417.2,140.4,7615.1,141,4400,1137.8,10412.8,3093.9,3120,190.1,185.5,243.7,211.1,377.6,2643.3,174.6,953.8,536.3,458,150.2,1423.7,63.3,2673.6
1/3/00,171,7789.7,19853,4719.6,320.6,85.5,1452.4,8360.8,1157.5,148.3,7799.3,159.6,5609.7,54.1,4619.5,152.2,166,839.9,2749.4,111.5,8183.3,434.4,203.4,1754,181.9,708.8,288.8,5740.1,696.4,1855.4,82.5,277.1,295.6,103.1,1786.6,2388.8,140.4,7615.1,139.4,4400,1137.8,10065.7,3093.9,3120,188.4,208.4,251,212.8,377.6,2643.3,185.4,929.2,525.4,435.7,150.8,1385.3,62.7,2673.6
1/4/00,169.7,7507,19326.2,4572.1,319.1,85.5,1419.8,8240,1080.9,140,7507.4,154.9,5323,53.8,4553.2,146.9,162.9,809.8,2746.6,111.1,8000,414.9,198.7,1705.3,175.9,689.4,288.8,5654.9,676.3,1843.6,82.7,261.6,296.3,99.7,1736.3,2281.5,130.8,7147,133.7,4284.4,1111.7,9700.8,3181,2911.5,184,196.1,244.4,200.7,365.7,2521.3,179.4,910.7,518.4,427.7,151,1342.7,59.8,2594.1
1/5/00,159.8,7224.4,19215.3,4357.6,328.2,85,1461.7,8092.3,1049,137.2,7364.4,161.7,5335.6,58.8,4575.3,149.3,152.8,822.4,2774.8,118.5,8000,419.5,199,1656.6,170.6,683.5,288.2,5518.7,652.9,1831.8,81.2,264.3,318,100.6,1764.1,2199.4,127.5,6772.5,132.1,4311.1,1116.4,9932.2,3159.3,2934.7,184.9,188.1,250.4,197.2,353.9,2472.8,167.5,910.7,514.4,413.4,150.6,1321.4,60.4,2549.9
1/6/00,169,7131.5,19603.4,4392.5,332.2,85,1512.9,8105.8,1039.2,136.1,7330,160.9,5498.4,58.2,4553.2,155.5,154.1,831.1,2791.7,123.9,7266.7,423.3,196.9,1684.4,172.1,678.8,288.2,5459,659.6,1820,81.2,262.1,330.4,100.6,1753.6,2335.1,120.8,6822.4,131.3,4302.2,1095.1,9896.6,3224.6,3020.7,183.7,188.1,261.3,197.2,356.7,2468.8,179.4,908.7,524.4,422.3,150.6,1398.1,60.8,2502.8
1/7/00,190,7276.9,19991.6,4505.1,341.5,84.5,1592,8280.2,1062.4,133.3,7524.6,166.8,5909.9,61.5,4579,156.9,158.5,881.6,2847.9,130.6,7166.7,405.6,201.8,1705.3,180.2,692.1,290,5493.1,676.3,1849.5,80.1,259.3,345.3,100.6,1800.1,2409.4,131.7,6903.6,132.6,4248.9,1090.4,10065.7,3259.5,3047.2,185.8,192.4,268.2,200.7,371,2532.6,174.6,927.1,545.3,428.6,149,1376.8,64.9,2517.5
1/10/00,195.9,7289,18799.3,4491.7,343.4,84.5,1121.8,8092.3,1069.3,135.6,7564.6,163,5805.4,63.5,4556.9,156.3,158.5,869,2769.1,129.9,7333.3,416.7,198.6,1754,177.1,692.9,294.7,5450.5,677.4,1839.7,80.8,259.3,347.8,100.6,1812.1,2418.8,135.6,7134.5,132.6,4213.3,1102.2,9869.9,3333.6,3212.6,185.2,197.7,267.1,200.7,360.8,2513.2,177,914.8,535.3,426.8,149.6,1364,65.9,2529.3
1/11/00,186.7,7095.1,18411.2,4376.4,340.3,84.5,1052,8092.3,1045,141.1,7393,162.6,5710.9,64.1,4567.9,153.4,159.8,866.1,2746.6,130.3,7400,409.3,199.6,1781.9,178.4,684.7,294.7,5220.6,667.4,1837.7,78.4,254.7,349.1,100,1830.1,2440.9,139.4,6834.9,129.3,4115.6,1092.7,9843.2,3333.6,3181.2,184,207.9,263.7,200.7,352.7,2463.1,179.4,912.8,529.4,421.4,150.9,1342.7,64.8,2494
1/12/00,193.3,6832.7,18106.2,4346.9,341.8,84,1038.1,8132.6,1023.5,139.4,7398.7,163.4,5883,64.1,4549.5,150.4,158.5,876.7,2769.1,130.6,7433.3,394.4,201.3,1712.3,175.1,663.3,294.7,5433.5,664.1,1861.3,76.6,256.1,350.3,99.4,1855.6,2420.4,136.2,6735,129.6,4106.7,1052.4,9887.7,3286.9,3115,186,200.4,263.8,195.5,349.4,2454.2,179.4,908.7,530.3,416.1,149.6,1338.4,62.7,2473.3
1/13/00,207,6735.7,18522.1,4290.6,347.4,83.5,1131.2,8213.1,1013.6,141.7,7541.8,168.9,6044.9,67.1,4553.2,151.7,156,889.3,2802.9,131.2,7300,390.7,202.1,1719.2,173.6,656.1,299.4,5229.1,704.2,1890.7,77.4,257.9,352.8,99.4,1825.6,2463,136.7,6722.5,129.6,3946.7,1024,10163.6,3237.7,2956.2,186.3,200.4,269.6,200.7,356.3,2424.3,185.4,916.9,541.3,419.6,149.8,1329.9,62.7,2426.2
